bedrooms,property_type,locality,postal_code,kitchen,facades,price,furnished,terraceSurface,fireplace,buildingState,gardenSurface,pool,livingArea,surfaceOfThePlot,energy_certificate,province,buildingStateLabel
2.0,APARTMENT,Ledeberg,9050.0,0.0,,225000.0,0.0,0.0,0.0,TO_BE_DONE_UP,0.0,0.0,80.0,,C,East Flanders,
4.0,APARTMENT,Saint-Gilles,1060.0,1.0,2.0,899000.0,0.0,0.0,0.0,AS_NEW,0.0,0.0,200.0,,D,Brussels,
2.0,HOUSE,Trooz,4870.0,1.0,3.0,184900.0,0.0,15.0,0.0,GOOD,96.0,0.0,78.0,240.0,B,Liège,
3.0,HOUSE,LUBBEEK,3210.0,1.0,2.0,325000.0,0.0,0.0,0.0,JUST_RENOVATED,0.0,0.0,120.0,261.0,C,Flemish Brabant,
3.0,HOUSE,EKEREN,2180.0,1.0,2.0,319000.0,0.0,0.0,0.0,JUST_RENOVATED,0.0,0.0,140.0,100.0,C,Antwerp,
3.0,HOUSE,Nijlen,2560.0,0.0,4.0,399000.0,0.0,0.0,0.0,GOOD,300.0,0.0,110.0,827.0,D,Antwerp,
3.0,HOUSE,Sinaai-Waas,9112.0,1.0,3.0,417000.0,0.0,0.0,0.0,GOOD,200.0,0.0,189.0,648.0,B,East Flanders,
2.0,APARTMENT,HERENTALS,2200.0,1.0,2.0,249000.0,0.0,36.0,0.0,AS_NEW,0.0,0.0,106.0,,B,Antwerp,
3.0,APARTMENT,HASSELT,3500.0,1.0,2.0,255000.0,0.0,25.0,0.0,GOOD,0.0,0.0,110.0,,B,Limburg,
2.0,APARTMENT,MECHELEN,2800.0,1.0,,265000.0,0.0,17.0,0.0,GOOD,0.0,0.0,78.0,,B,Antwerp,
3.0,APARTMENT,Laeken,1020.0,1.0,2.0,365000.0,0.0,52.0,0.0,TO_BE_DONE_UP,0.0,0.0,150.0,,G,Brussels,
3.0,APARTMENT,Ixelles,1050.0,1.0,2.0,645000.0,0.0,6.0,0.0,AS_NEW,0.0,0.0,165.0,,F,Brussels,
3.0,APARTMENT,Woluwe-Saint-Lambert,1200.0,1.0,2.0,795000.0,0.0,28.0,0.0,AS_NEW,39.0,0.0,159.0,,C,Brussels,
3.0,HOUSE,LIER,2500.0,1.0,2.0,470000.0,0.0,33.0,0.0,GOOD,127.0,0.0,272.0,354.0,B,Antwerp,
3.0,APARTMENT,DEURNE,2100.0,1.0,2.0,219000.0,0.0,2.0,0.0,GOOD,0.0,0.0,83.0,,B,Antwerp,
2.0,APARTMENT,MORTSEL,2640.0,1.0,,234000.0,0.0,0.0,0.0,GOOD,0.0,0.0,89.0,,D,Antwerp,
2.0,APARTMENT,MORTSEL,2640.0,1.0,2.0,235000.0,0.0,0.0,0.0,GOOD,0.0,0.0,89.0,,C,Antwerp,
3.0,APARTMENT,Wilrijk,2610.0,1.0,2.0,249000.0,0.0,3.0,0.0,GOOD,0.0,0.0,112.0,,C,Antwerp,
3.0,APARTMENT,MORTSEL,2640.0,1.0,3.0,279000.0,0.0,0.0,1.0,GOOD,0.0,0.0,99.0,,B,Antwerp,
3.0,APARTMENT,Antwerpen,2000.0,1.0,2.0,525000.0,0.0,0.0,1.0,JUST_RENOVATED,0.0,0.0,134.0,,C,Antwerp,
3.0,HOUSE,Melle,9090.0,0.0,,298000.0,0.0,0.0,0.0,GOOD,123.0,0.0,135.0,123.0,F,East Flanders,
3.0,HOUSE,SINT-MARTENS-LATEM,9830.0,1.0,4.0,859000.0,0.0,0.0,0.0,JUST_RENOVATED,0.0,0.0,206.0,600.0,C,East Flanders,
3.0,HOUSE,Hoevenen,2940.0,1.0,,325000.0,0.0,24.0,0.0,GOOD,272.0,0.0,131.0,272.0,D,Antwerp,
